filter,n,wr,avg_w,avg_l,exp,vs_base,coverage
Baseline,14690,0.5217835262083049,0.25695276411358575,-0.14285349982649417,0.06575882237232901,0.0,1.0
Mkt cap > $500M,5313,0.5607001693958216,0.207571832825475,-0.11920015222910683,0.06402095514480609,-0.0017378672275229212,0.36167460857726347
Mkt cap > $1B,3743,0.5623831151482768,0.20215857436949153,-0.11515237004423659,0.06329794734579751,-0.0024608750265315005,0.25479918311776717
Price > $10,5692,0.5219606465214336,0.16287117556989367,-0.12922998372223926,0.023235326231542706,-0.04252349614078631,0.38747447243022465
Price > $20,3099,0.5288802839625686,0.14517807316009343,-0.12248608679116403,0.019076210130459396,-0.04668261224186961,0.21095983662355344
Avg $vol > $5M,5922,0.5135089496791625,0.18571969616276363,-0.13818650669680646,0.028142227328177106,-0.03761659504415191,0.40313138189244385
Avg $vol > $10M,3996,0.5125125125125125,0.17981320690782465,-0.1351317225407367,0.02628149455402148,-0.039477327818307525,0.2720217835262083
S&P 500,6,0.8333333333333334,0.1317352820476463,-0.04322527015793846,0.10257519001338218,0.03681636764105317,0.0004084411164057182
Russell 1000,2576,0.5722049689440993,0.20267208913582202,-0.1138645998921211,0.06725926642278114,0.0015004440504521321,0.175357385976855
