filter,n,wr,avg_w,avg_l,exp,vs_base,coverage
Baseline,8434,0.5088925776618449,0.29625904198415864,-0.1536779030651124,0.07529166868630703,0.0,1.0
Mkt cap > $500M,2647,0.550812240272006,0.2493687502040758,-0.12781927154719636,0.07994050771738803,0.004648839031081001,0.3138487076120465
Mkt cap > $1B,1793,0.5415504740658115,0.2522555230771546,-0.12413157750481592,0.0797010352476065,0.004409366561299463,0.2125918899691724
Price > $10,2765,0.4929475587703436,0.1935721429979869,-0.14243554056429555,0.023198626775809673,-0.05209304191049736,0.3278396964666825
Price > $20,1410,0.48652482269503544,0.16696620766961132,-0.1374926652702513,0.0106341339047457,-0.06465753478156133,0.16718046004268436
Avg $vol > $5M,3243,0.4853530681467777,0.22009790892443726,-0.15197956350851122,0.028609379325118433,-0.046682289361188595,0.38451505809817405
Avg $vol > $10M,2153,0.4816535067347887,0.21605745377762053,-0.1501140842329554,0.026253721116309442,-0.04903794756999759,0.255276262746028
S&P 500,3,0.6666666666666666,0.045700011930326884,-0.04322527015793846,0.016058251234238437,-0.059233417452068594,0.00035570310647379654
Russell 1000,1181,0.5469940728196444,0.27278486934828966,-0.1242122580067253,0.09294281758289338,0.017651148896586352,0.1400284562485179
