exit,n,wr,exp,avg_w,avg_l,early_pct,avg_hold
Baseline (20d time exit),8569,0.5093943283930447,0.07440758169384022,0.293850828498893,-0.15343965244128233,0.0,20.0
No gain by day 3,8569,0.4056482670089859,0.07154228733305631,0.3135671245753943,-0.09364097091441412,0.30050180884583966,14.891469249620727
No gain by day 5,8569,0.4051814680826234,0.07105803687422402,0.31497612964744026,-0.09509531178353677,0.3546504843038861,14.680242735441709
Break 50MA,8569,0.5308670790057183,0.05801628895056546,0.18285046652864093,-0.08324507269188862,0.739526199089742,9.42525382191621
SPY drop >3%,8534,0.5,0.07206005195697236,0.27894067243852194,-0.13482056852457727,0.2562690414811343,17.56374501992032
Day3 cutoff OR 50MA break,8569,0.500758548255339,0.057349872920183835,0.1773674170774296,-0.06303238093178938,0.783171898704633,8.0833236083557
Day5 cutoff OR SPY drop,8542,0.4110278623273238,0.06874704772294761,0.2925988958902701,-0.0874731548044762,0.49414656988995553,13.42905642706626
Day3 cutoff OR SPY drop,8543,0.4074681025400913,0.06969410704750131,0.2939292844717073,-0.0845063379571729,0.4630691794451598,13.419641812009832
