n,wr,exp,avg_w,avg_l,stop_r,tgt_r,time_r,stop,target
8569,0.5093943283930447,0.07440758169384022,0.293850828498893,-0.15343965244128233,0.0,0.0,1.0,none,none
8569,0.7785039094410083,0.041106264419621744,0.09720323271194317,-0.156060687887057,0.0,0.7457112848640448,0.2542887151359552,none,10%
8569,0.6790757381258024,0.04399349945218995,0.13723050592672928,-0.15329600624793527,0.0,0.5921344380907924,0.4078655619092076,none,15%
8569,0.6169914809195939,0.0460427958940137,0.16875125511008401,-0.15162924063108188,0.0,0.4750846073054032,0.5249153926945967,none,20%
8569,0.5840821566110398,0.049911487465876446,0.19342686326632613,-0.15163016682179212,0.0,0.39269459680242735,0.6073054031975726,none,25%
8569,0.27564476601703813,0.056152283314980275,0.3335030338072255,-0.049390244905203926,0.7110514645816315,0.0,0.2889485354183685,5%,none
8569,0.558408215661104,0.03314094969352817,0.0986356969975611,-0.049679442972908834,0.43692379507527135,0.5467382425020423,0.01633796242268643,5%,10%
8569,0.44392577897070834,0.03578136606684271,0.14276290831713798,-0.049624255490371,0.5496557357918077,0.41078305519897307,0.03956120900921928,5%,15%
8569,0.3796242268642782,0.03739331869726357,0.17948050035113755,-0.04955355901531206,0.612090092192788,0.3191737659003384,0.06873614190687362,5%,20%
8569,0.34298051114482436,0.03908648384856312,0.2087309338852542,-0.0494721375826687,0.6465165130120201,0.25708950869413,0.09639397829384992,5%,25%
8569,0.3370288248337029,0.061765030813413904,0.31659677354879007,-0.0677815407443693,0.6301785505893337,0.0,0.36982144941066636,7%,none
8569,0.6279612556891119,0.03622433603352111,0.09833927907417665,-0.0686189853283884,0.35978527249387326,0.6117399929980161,0.02847473450811063,7%,10%
8569,0.5128953203407632,0.03916715866319515,0.14132241849680624,-0.06839689667190801,0.4691329209942817,0.4670323258256506,0.06383475318006769,7%,15%
8569,0.4462597736025207,0.04104365769480853,0.1766387989353727,-0.06823259522487901,0.5314505776636713,0.3665538569261291,0.10199556541019955,7%,20%
8569,0.40739876298284516,0.04280045634629852,0.20405382818462692,-0.06805726738107537,0.5665771968724472,0.2953670206558525,0.1380557824717003,7%,25%
8569,0.35966857276228265,0.06406730908385228,0.31378325376495564,-0.07619595709204725,0.5926012370171548,0.0,0.40739876298284516,8%,none
8569,0.6528182985179134,0.03724100831356155,0.09823697967275187,-0.07745192068923197,0.3292099428171315,0.6351966390477302,0.03559341813513829,8%,10%
8569,0.5365853658536586,0.03994206709671303,0.14099840541723083,-0.07707053516914968,0.4366903956120901,0.48675458046446496,0.07655502392344497,8%,15%
8569,0.46983311938382544,0.04186318115310568,0.1757784487516077,-0.07681233444266128,0.4964406581864862,0.3830085190804061,0.12055082273310772,8%,20%
8569,0.43178900688528415,0.04407018376528618,0.20281179624218396,-0.07655909661354351,0.5293499824950403,0.31053798576263275,0.160112031742327,8%,25%
8569,0.3952619908974209,0.065484097282549,0.30648471428594665,-0.09203598951608236,0.530983778737309,0.0,0.4690162212626911,10%,none
8569,0.6888785155794142,0.03830686879532681,0.09801659995524202,-0.09390113684495056,0.2818298517913409,0.6681059633562842,0.05006418485237484,10%,10%
8569,0.5750962772785623,0.040900843576148205,0.14008892076403012,-0.09334767177180073,0.38114132337495626,0.5167464114832536,0.10211226514179017,10%,15%
8569,0.5074104329560042,0.042578061080771376,0.17403006066995746,-0.09282902117788325,0.43785739292799625,0.4079822616407982,0.15416034543120552,10%,20%
8569,0.4695997199206442,0.044948762491426646,0.20019103989666628,-0.09249786551268431,0.46866612206791924,0.3309604387909908,0.20037343914109,10%,25%
8569,0.424203524331894,0.06496844957874358,0.29641797092329136,-0.1055461450883483,0.46924962072587234,0.0,0.5307503792741277,12%,none
8569,0.7154860543820749,0.03917170757502496,0.09780705020155007,-0.10828247029340225,0.24110164546621543,0.6915626094059983,0.0673357451277862,12%,10%
8569,0.604738009102579,0.04178785698857614,0.1392376552105557,-0.10730716940241823,0.3297934414750846,0.5384525615591084,0.13175399696580697,12%,15%
8569,0.5371688645116116,0.04322510771748913,0.17233001118107188,-0.10661600943905934,0.38195822149609054,0.42572062084257206,0.19232115766133737,12%,20%
8569,0.4997082506710235,0.04567624389895282,0.19774712354358034,-0.10621727292826791,0.41089975493056363,0.3460147041661804,0.24308554090325593,12%,25%
8569,0.45641265025090444,0.06646876336350387,0.2905235061552821,-0.12165448675642845,0.3841755163963123,0.0,0.6158244836036877,15%,none
8569,0.7426770918426887,0.04021423797606586,0.0974786928671816,-0.12506058784119514,0.1889368654452095,0.7144357567977594,0.09662737775703116,15%,10%
8569,0.6348465398529584,0.04258748864302353,0.13822019281009174,-0.12367710409230759,0.2626910958104796,0.559341813513829,0.17796709067569144,15%,15%
8569,0.567860893919944,0.04362198012182705,0.17039957845171677,-0.1229726170894188,0.3085540903255923,0.44299218111798344,0.2484537285564243,15%,20%
8569,0.5316839771268526,0.046523988974106215,0.1953552663594516,-0.12244568452891734,0.33282763449644065,0.3622359668572762,0.30493639864628314,15%,25%
