universe,quality,pullback,trigger,hold,exit,n,wr,exp,avg_w,avg_l,score
mid,none,vwap,green,10,time,12215,0.6000818665575113,0.020936702586071648,0.07195889565552899,-0.055622698682940064,2.3139555890065435
mid,none,dn8,volexp,5,trail5,2588,0.46947449768160743,0.04545374091553586,0.13703062625072027,-0.03558479927546856,2.312340406083134
mid,none,dn15,green,20,target15,3767,0.6487921422882931,0.037638812553447455,0.129253701184623,-0.13160290159212554,2.310115657862869
mid,none,dn8,volexp,2,trail5,2581,0.4781092599767532,0.04536816193759219,0.1319834985906551,-0.033981003192236826,2.304863374153491
mid,none,dn8,immed,10,time,18409,0.5047531098919007,0.016907396994202625,0.12527768779978807,-0.09354305185580285,2.2939917362663276
mid,none,dn10,volexp,5,time,2011,0.5096966683242168,0.0511254075995755,0.1854231232758198,-0.08848428668860951,2.292676707425169
mid,none,dn10,green,2,target15,7222,0.6782054832456383,0.026790167513855316,0.05713698904474443,-0.03716797872465367,2.2766914219292733
mid,above50,dn5,green,20,time,3586,0.5435025097601784,0.03800543150564526,0.16042859980543858,-0.10775068029416976,2.2758876041259226
mid,none,dn8,green,2,target10,9514,0.6834139163338239,0.023158005910117345,0.050120829027258756,-0.035046600964933596,2.2588257710129054
small,above50,dn5,green,5,time,3701,0.6001080788975952,0.037055430847572575,0.10617133683056425,-0.06666512806338994,2.2542984362241087
mid,none,dn8,gapup,10,time,2160,0.5467592592592593,0.048457327100552755,0.161763553923298,-0.08822771261105306,2.252093050345994
mid,above200,dn5,green,20,time,5319,0.5702199661590525,0.03069147438797492,0.123988283883844,-0.09309208781717423,2.2383744874289833
small,above21,dn8,green,5,time,1464,0.5819672131147541,0.05836078221780313,0.15849086785847585,-0.0810360036741138,2.2330150109598708
