exit,n,wr,exp,avg_w,avg_l,early_pct,avg_hold
Baseline (20d time exit),14953,0.522771350230723,0.06507386243737417,0.25482283518873006,-0.1427831611048552,0.0,20.0
No gain by day 3,14953,0.4140975055172875,0.06139408283000546,0.2702597609560939,-0.08622562712967262,0.2996054303484251,14.906707684076775
No gain by day 5,14953,0.41296060991105465,0.06075586120069617,0.2722013627239776,-0.08798826865875504,0.34682003611315454,14.79769945830268
Break 50MA,14953,0.5336052965960008,0.0522768819687865,0.16285303964766962,-0.07423403889726006,0.7274125593526383,9.663612652979335
SPY drop >3%,14901,0.5111066371384471,0.06307288681327815,0.24299244208184786,-0.12502146224992391,0.25031877055231194,17.629756392188444
Day3 cutoff OR 50MA break,14953,0.500100314318197,0.05109269272427477,0.1583172900904923,-0.05617493792516666,0.7732896408747408,8.31478633050224
Day5 cutoff OR SPY drop,14911,0.41814767621219234,0.05970613446285916,0.2554318949043107,-0.08095201633848366,0.48440748440748443,13.57501173630206
Day3 cutoff OR SPY drop,14913,0.414671762891437,0.060426806346567365,0.255172469081887,-0.07753941869126249,0.4591296184536981,13.456849728424864
