n,wr,exp,avg_w,avg_l,stop_r,tgt_r,time_r,stop,target
14690,0.5217835262083049,0.06575882237232901,0.25695276411358575,-0.14285349982649417,0.0,0.0,1.0,none,none
14690,0.7563648740639891,0.0379184438325503,0.09538053695699021,-0.14047253596785536,0.0,0.7040844111640572,0.2959155888359428,none,10%
14690,0.6633083730428864,0.03997526527325678,0.13189794233602864,-0.14111947093775193,0.0,0.54356705241661,0.45643294758339004,none,15%
14690,0.6082368958475153,0.04151434070643749,0.15875945401823108,-0.14051608282803263,0.0,0.4240980258679374,0.5759019741320627,none,20%
14690,0.5802586793737237,0.044764134977070255,0.17892691464320712,-0.1407051374644073,0.0,0.34193328795098704,0.6580667120490129,none,25%
14690,0.3031994554118448,0.049690224778967534,0.27667543259839167,-0.049078055372235585,0.6776718856364874,0.0,0.3223281143635126,5%,none
14690,0.5486725663716814,0.03103184700448901,0.09717434556017657,-0.04937668065144487,0.4424778761061947,0.5251191286589517,0.03240299523485364,5%,10%
14690,0.4429543907420014,0.033317034823137345,0.13722318781404172,-0.04930759398192372,0.5452688904016337,0.38495575221238937,0.06977535738597686,5%,15%
14690,0.386997957794418,0.03480988340203013,0.16788432383924728,-0.049202131465885424,0.5982981620149762,0.2921034717494895,0.10959836623553437,5%,20%
14690,0.3562968005445882,0.036307516732352364,0.19071142385879644,-0.0491567440438541,0.6272974812797821,0.22995234853641933,0.1427501701837985,5%,25%
14690,0.3641252552756978,0.05387282810106642,0.26482552523326996,-0.06692644145895467,0.5936010891763104,0.0,0.40639891082368956,7%,none
14690,0.6181075561606535,0.033907655420498325,0.09669828037895235,-0.06772137748908502,0.36242341729067395,0.586861810755616,0.050714771953710006,7%,10%
14690,0.5111640571817563,0.036305704723413636,0.13558659686824515,-0.06750995035464513,0.4618788291354663,0.43587474472430227,0.10224642614023145,7%,15%
14690,0.4529611980939415,0.03799654854808261,0.16508167239339944,-0.06723297037510531,0.5138869979577945,0.33356024506466986,0.15255275697753573,7%,20%
14690,0.4204901293396869,0.03963508159259125,0.18679132142411228,-0.06714091904634983,0.5432266848196051,0.26310415248468344,0.19366916269571136,7%,25%
14690,0.3863852961198094,0.05544777106298361,0.2626904421583182,-0.07505027654486186,0.5556841388699796,0.0,0.4443158611300204,8%,none
14690,0.6424778761061947,0.0348105934563629,0.09653192053918529,-0.07610446461821396,0.33036078965282506,0.6085091899251192,0.06113002042205582,8%,10%
14690,0.5345813478556841,0.036969032465113356,0.135158366996291,-0.07581155025732894,0.4278420694349898,0.45350578624914906,0.11865214431586113,8%,15%
14690,0.47665078284547313,0.0387863059126017,0.16422996003206794,-0.07546401486581952,0.4776718856364874,0.3480599046970728,0.17426820966643974,8%,20%
14690,0.4443158611300204,0.040641415538907995,0.1856823170894463,-0.07533089420265314,0.505650102110279,0.2756296800544588,0.21872021783526208,8%,25%
14690,0.42457454050374405,0.0586860991693207,0.25996781457042273,-0.08982851800288721,0.48692988427501704,0.0,0.513070115724983,10%,none
14690,0.6793056501021103,0.036043199968802654,0.09612945565841688,-0.09123354499546404,0.2778080326752893,0.6396187882913547,0.08257317903335602,10%,10%
14690,0.5745405037440435,0.03831462086226625,0.13404668865398262,-0.09096196348366753,0.3665078284547311,0.4818243703199455,0.15166780122532336,10%,15%
14690,0.5159972770592239,0.040019265771602947,0.1622972834270571,-0.09034182759384606,0.41279782164737916,0.3704560925799864,0.21674608577263443,10%,20%
14690,0.4839346494213751,0.04204830896697368,0.18300775653992554,-0.09013487435925172,0.43846153846153846,0.29373723621511233,0.2678012253233492,10%,25%
14690,0.45091899251191286,0.058632666666016575,0.25442257400230955,-0.10215487935377075,0.42457454050374405,0.0,0.575425459496256,12%,none
14690,0.7026548672566372,0.03646403074225207,0.0959074235490263,-0.10400636773566085,0.2359428182437032,0.6592239618788291,0.10483321987746766,12%,10%
14690,0.6008168822328115,0.03879540793082549,0.13336737760542744,-0.10354637316536089,0.3142273655547992,0.5002042205582029,0.18556841388699796,12%,15%
14690,0.5424778761061947,0.04032893809355077,0.16107261971201808,-0.10283523372873253,0.35643294758339006,0.38529611980939416,0.2582709326072158,12%,20%
14690,0.5107556160653506,0.04252117522330832,0.18150700263612687,-0.10257561941678875,0.37998638529611983,0.30653505786249147,0.3134785568413887,12%,25%
14690,0.47848876786929884,0.05972135964911628,0.25166471434286636,-0.11638748255717128,0.3402314499659632,0.0,0.6597685500340368,15%,none
14690,0.7253914227365554,0.03686295356259586,0.0956604002694995,-0.11845325667755416,0.18270932607215792,0.6781484002722941,0.139142273655548,15%,10%
14690,0.6266167460857727,0.03918257682973626,0.13270655862139552,-0.11777061412600186,0.2455411844792376,0.5180394826412525,0.23641933287950986,15%,15%
14690,0.5686861810755616,0.040453937997491196,0.15987160830110803,-0.11699795873805409,0.2817562968005446,0.3997957794417971,0.3184479237576583,15%,20%
14690,0.5379169503063308,0.042902332516936884,0.18002286370535414,-0.11672147971801794,0.30122532334921714,0.31906058543226684,0.379714091218516,15%,25%
