filter,type,n,wr,exp,avg_w,avg_l
BASELINE,baseline,62163,0.5742161736080948,0.051546471974960074,0.1734352644391943,-0.11283392877352266
D/E <1.0,individual,21157,0.556269792503663,0.0511713835446847,0.1861174792700209,-0.11799996291797847
Mkt cap >$500M,individual,26600,0.6029323308270677,0.05077555789588455,0.14402515359599416,-0.09082044814826978
Not bio/pharma+0 rev,individual,58421,0.5777545745536707,0.050505576644657,0.16801932417353393,-0.11028741509939126
DE<1+MCap>500M,pair,9505,0.5978958442924777,0.05034770310759725,0.14961719686814404,-0.0972578785358322
GrossM>30+NoBioPharma,pair,16391,0.555365749496675,0.050011606634319236,0.18258445622990557,-0.1155771213937574
Gross margin >30%,individual,16555,0.5546964663243733,0.0497566720802731,0.18336336480674947,-0.11667174073948172
MCap>500M+DVol>10M,pair,14238,0.605141171512853,0.049358274175713625,0.1408149675697598,-0.09080374472914268
Avg $ vol >$10M,individual,20361,0.593192868719611,0.04916750338023112,0.15099844240672833,-0.09931904516039827
DE<1+NoBioPharma,pair,18250,0.562082191780822,0.049143348783373654,0.17596550004380265,-0.11363713515424904
MCap>500M+NoBioPharma,pair,25109,0.6056792385200526,0.04896593035573296,0.13818545372084556,-0.08807583424750232
DVol>10M+NoBioPharma,pair,19530,0.5955965181771633,0.04857982103740736,0.14787508503474847,-0.09766005118556956
MCap>500M+DVol>10M+NoBioPharma,triple,13590,0.6068432671081677,0.04781287313856963,0.13631569285888978,-0.0887925459580952
PosEPS+DE<1,pair,13015,0.5731079523626584,0.04751480603915662,0.16255625106209248,-0.10692978331038956
DE<1+MCap>500M+DVol>10M,triple,5504,0.6053779069767442,0.04741165025962808,0.140477954132943,-0.09535857280937989
Pos EPS / Improving EPS,individual,30210,0.5771929824561404,0.046530922303671944,0.15731307943103687,-0.10470281087019971
RevGrowth+GrossM>30,pair,9877,0.565050116432115,0.046281988399702344,0.16791978666551258,-0.11173955539021548
RevGrowth+GrossM>30+NoBioPharma,triple,9828,0.564916564916565,0.04624129324251406,0.16752888695049634,-0.11123969840077817
DE<1+MCap>500M+NoBioPharma,triple,8245,0.6047301394784718,0.04617202643352623,0.13622202258679264,-0.09159700726398412
PosEPS+GrossM>30+NoBioPharma,triple,11010,0.5621253405994551,0.04598043905700537,0.16298401043318558,-0.10422389681670952
GrossM>30+MCap>500M,pair,7341,0.5954229668982427,0.04571602311886461,0.14238223698527688,-0.09654930375321892
DE<1+DVol>10M,pair,7156,0.5887367244270543,0.04571033432807172,0.14920094156725555,-0.10243982819271709
RevGrowth+GrossM>30+MCap>500M,triple,5130,0.5978557504873294,0.04564999923403577,0.1411497769994626,-0.09632664565523426
PosEPS+GrossM>30,pair,11068,0.5617094325984822,0.04560336787293193,0.16309830775615086,-0.10497713949750143
GrossM>30+MCap>500M+NoBioPharma,triple,7315,0.5958988380041012,0.04558487860396468,0.14178246425430205,-0.09627076275253754
GrossM>30+DE<1+NoBioPharma,triple,8083,0.5572188543857479,0.04554846379247147,0.1686157894009205,-0.10932586829483065
PosEPS+MCap>500M,pair,15792,0.60790273556231,0.04537086476868987,0.12913095821083687,-0.08448974521913494
RevGrowth+DE<1+MCap>500M,triple,5235,0.6059216809933142,0.045349860587696626,0.1345472393123438,-0.09179705425213895
PosEPS+DE<1+NoBioPharma,triple,11804,0.5766689257878685,0.04534641428928302,0.15383659165005154,-0.10244078548953454
GrossM>30+DE<1,pair,8198,0.5562332276164919,0.0453352882854799,0.16975461216045779,-0.11061636560948965
RevGrowth+MCap>500M,pair,13480,0.605192878338279,0.04526431731593633,0.13171740615007627,-0.08725809882628725
PosEPS+NoBioPharma,pair,28666,0.5798158096699924,0.04521124720672496,0.15173592095332009,-0.10178307428286885
RevGrowth+MCap>500M+NoBioPharma,triple,13349,0.6054386096336805,0.04499098082661691,0.13082081877588841,-0.08671145895048815
DE<1+DVol>10M+NoBioPharma,triple,6418,0.595200997195388,0.04498754430984441,0.1424161376660665,-0.09826773922393867
RevGrowth+MCap>500M+DVol>10M,triple,7799,0.6117450955250673,0.044283526925643704,0.12838589905043785,-0.08823048146517298
PosEPS+DE<1+MCap>500M,triple,6596,0.6082474226804123,0.04416807604231002,0.12946039770740866,-0.08825947601665897
Revenue growth YoY,individual,24986,0.5754422476586889,0.04410190976063174,0.1555497015805294,-0.10695355317172951
RevGrowth+DE<1,pair,9977,0.5687080284654705,0.04388117111658605,0.16047532054121344,-0.10986161387884405
RevGrowth+NoBioPharma,pair,24628,0.5758080233880136,0.043838821782241195,0.15437258599040315,-0.10620227233434201
GrossM>30+DVol>10M,pair,6534,0.5801958983777166,0.04365638875865314,0.14897881571436622,-0.10190588633763134
GrossM>30+DVol>10M+NoBioPharma,triple,6526,0.5802942077842477,0.04364845528267052,0.14887803306845193,-0.1018442103159984
PosEPS+MCap>500M+NoBioPharma,triple,15194,0.6096485454784784,0.043368559507820446,0.12358084931774212,-0.08190651054938823
GrossM>30+DE<1+MCap>500M,triple,3753,0.5968558486544098,0.04316836491697703,0.13714196617985178,-0.09595976914041851
RevGrowth+DE<1+NoBioPharma,triple,9697,0.5691450964215737,0.04315625966643458,0.15806447578132618,-0.10863369838480687
RevGrowth+GrossM>30+DE<1,triple,4982,0.5620232838217584,0.04301062984262287,0.16234193206929093,-0.11011844725850939
RevGrowth+DE<1+DVol>10M,triple,4029,0.6011417225117895,0.04299347631041271,0.13638182424074521,-0.09775735050182459
RevGrowth+GrossM>30+DVol>10M,triple,4406,0.5935088515660463,0.04298184032110498,0.1392279344625962,-0.09754498054991656
RevGrowth+DVol>10M,pair,9885,0.5985837126960041,0.04293041903399297,0.1358581076534155,-0.09564143922233846
RevGrowth+DVol>10M+NoBioPharma,triple,9763,0.5989962101812968,0.0427360163534396,0.13492569047151545,-0.09497157349138992
PosEPS+MCap>500M+DVol>10M,triple,8967,0.6171517787442846,0.04260471631392987,0.1209852987877885,-0.08374487395998034
RevGrowth+PosEPS+MCap>500M,triple,10889,0.6105243824042612,0.04237658961212443,0.1204727534241135,-0.08004342854918267
RevGrowth+PosEPS+GrossM>30,triple,7096,0.5700394588500564,0.04236752949896229,0.1527170828713267,-0.1039333369026156
GrossM>30+MCap>500M+DVol>10M,triple,4919,0.5970725757267737,0.04226553271787308,0.13332148543640882,-0.09266450418139
RevGrowth+PosEPS+DE<1,triple,7206,0.5824313072439634,0.041796222806036794,0.14361454602018656,-0.10022155802805645
PosEPS+GrossM>30+MCap>500M,triple,5488,0.5998542274052479,0.041455843624512705,0.1283604494181428,-0.08882191697322424
RevGrowth+PosEPS,pair,18571,0.585536589305907,0.04123012358225493,0.13887370728011003,-0.096716651671802
RevGrowth+PosEPS+NoBioPharma,triple,18403,0.5857740585774058,0.04104411694201941,0.13801038034010402,-0.09607989190375676
GrossM>30+DE<1+DVol>10M,triple,3093,0.5871322340769479,0.040818046466164645,0.13815117080862824,-0.09759773568412032
RevGrowth+PosEPS+DVol>10M,triple,7821,0.6070834931594425,0.04053043515833812,0.12403002112893008,-0.08848226714832336
DE<1+MCap>500M+Price>5,triple,7978,0.5990223113562296,0.039954094853478415,0.1274140148430259,-0.0907026596416911
PosEPS+DVol>10M,pair,11539,0.5978854320131727,0.03940416197771295,0.12787188516595616,-0.09213437730584094
MCap>500M+DVol>10M+Price>5,triple,12989,0.6052813919470321,0.039358907847179485,0.12253623150164095,-0.08818938912402706
MCap>500M+Price>5,pair,22478,0.6032565174837619,0.03901590174119338,0.12070814688596626,-0.08519881502973288
PosEPS+DVol>10M+NoBioPharma,triple,11257,0.599982233277072,0.0387261685905812,0.12501612919017172,-0.09069919092299514
RevGrowth+MCap>500M+Price>5,triple,12237,0.6050502574160334,0.03867283626362054,0.11786025182058112,-0.08263972835126382
PosEPS+GrossM>30+DE<1,triple,5578,0.5634636070276084,0.03857479172461469,0.1471947779026511,-0.10162751486986925
DE<1+DVol>10M+Price>5,triple,6539,0.5887750420553601,0.03845375943378619,0.13424077571807144,-0.09869016495985396
MCap>500M+NoBioPharma+Price>5,triple,21516,0.6061535601412902,0.03822059976261994,0.11703958927406481,-0.08308660594994367
PosEPS+DE<1+DVol>10M,triple,4968,0.5996376811594203,0.038179018696912044,0.12654568543142677,-0.09417105681948784
RevGrowth+DVol>10M+Price>5,triple,9178,0.6007844846371758,0.037509513199565706,0.12309518213051943,-0.09128944381060863
PosEPS+MCap>500M+Price>5,triple,14326,0.6089627251151752,0.03745386316071924,0.1125934274793842,-0.07956105278287824
DVol>10M+Price>5,pair,18303,0.5954215155985357,0.037086939072792646,0.12654389591641085,-0.09456760727180576
PosEPS+GrossM>30+DVol>10M,triple,4803,0.5871330418488445,0.03695018862728758,0.12829788290952848,-0.09295424802219268
DVol>10M+NoBioPharma+Price>5,triple,17617,0.5982289833683374,0.03660679884253104,0.12364896314073828,-0.09299723754328505
GrossM>30+MCap>500M+Price>5,triple,6505,0.5923136049192929,0.03647352964990966,0.12402245902069067,-0.09072331230545204
PosEPS+DVol>10M+Price>5,triple,10855,0.5991708889912483,0.03556134721677534,0.11833199709058566,-0.08816660193957086
Price >$5,individual,45757,0.5836046943637039,0.03318709895567187,0.1281748429314596,-0.09994430896588563
NoBioPharma+Price>5,pair,43827,0.5874689118579871,0.032957924837778846,0.12445692473857213,-0.09734211666917496
GrossM>30+DVol>10M+Price>5,triple,5849,0.5806120704393913,0.0328978244137952,0.12569586309333616,-0.09557430740671895
RevGrowth+NoBioPharma+Price>5,triple,20018,0.5807773004296134,0.03274409464396982,0.12590874142852093,-0.09632313408782131
RevGrowth+PosEPS+Price>5,triple,15970,0.5891045710707576,0.03268378427562226,0.11764504537832801,-0.08912596038366696
RevGrowth+Price>5,pair,20181,0.5800505425895645,0.03251299368424678,0.12629356007378922,-0.0970203762456628
PosEPS+NoBioPharma+Price>5,triple,23399,0.5850250010684217,0.031852774851750344,0.11941567576329845,-0.09159197803992648
DE<1+Price>5,pair,14647,0.5614801665870144,0.0318375394895146,0.14036789274656933,-0.10712456936709727
PosEPS+Price>5,pair,24146,0.5823324774289738,0.03170344479908334,0.12191346970305152,-0.09407178179235907
PosEPS+DE<1+Price>5,triple,9909,0.5792713694621051,0.031506840541072584,0.1242699355898798,-0.09621207660456271
RevGrowth+DE<1+Price>5,triple,7696,0.5736746361746362,0.030820390426167577,0.12958904624451817,-0.10208531376097595
RevGrowth+GrossM>30+Price>5,triple,7731,0.5649980597594102,0.030383383342598838,0.13308583580591168,-0.10301070299690473
DE<1+NoBioPharma+Price>5,triple,13072,0.5674724602203183,0.03030164694155095,0.13142245848828465,-0.1023679993360703
GrossM>30+NoBioPharma+Price>5,triple,11903,0.5549861379484163,0.028662026411263624,0.13503671341036405,-0.10400008087891144
PosEPS+GrossM>30+Price>5,triple,8697,0.560998045302978,0.028205333392071544,0.12565192228380015,-0.09632109594337734
GrossM>30+Price>5,pair,11964,0.5540789033767971,0.028133191891158364,0.13535849124717966,-0.10509951840519875
GrossM>30+DE<1+Price>5,triple,5997,0.5561113890278473,0.0269423814184936,0.12928517021583444,-0.10127444827314114
